support,itemsets
0.6,"frozenset({'ALDOC_upregulated', 'DEFB132_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'CES1P1_upregulated', 'DEFB132_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'ALDOC_upregulated', 'DEFB132_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated'})"
0.6,"frozenset({'CES1_upregulated', 'CES1P1_upregulated', 'DEFB132_upregulated', 'B4GALT6_upregulated'})"
0.6,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'DEFB132_upregulated', 'B4GALT6_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'B4GALT6_upregulated', 'ALDOC_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'B4GALT6_upregulated', 'CES1P1_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'B4GALT6_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'B4GALT6_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'CES1_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'B4GALT6_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'ALAS2_upregulated', 'CES1_upregulated'})"
0.6,"frozenset({'ALDOC_upregulated', 'ALAS2_upregulated'})"
0.6,"frozenset({'ALAS2_upregulated', 'APLNR_upregulated'})"
0.6,"frozenset({'ALDOC_upregulated', 'ALAS2_upregulated', 'CES1_upregulated'})"
0.6,"frozenset({'ALAS2_upregulated', 'CES1_upregulated', 'APLNR_upregulated'})"
