antecedents,consequents,confidence,support,zhangs_metric,lift
"frozenset({'NNAT_downregulated', 'RARRES1_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
frozenset({'STC1_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'ALDOC_downregulated', 'STC1_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'HPD_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'NNAT_downregulated', 'HPD_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'HPD_downregulated', 'KLB_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'HPD_downregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'HPD_downregulated', 'GYS2_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'HPD_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'ALCAM_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'ALCAM_upregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'ACP5_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'ACP5_upregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'SREBF1_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'FASN_downregulated', 'SREBF1_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'ALDOC_downregulated', 'SREBF1_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
